manufacturer,manufacturerPartNum,description,category,unitPrice,stockQuantity
"Vishay","ERJ-0805-1102-H","Metal Film Axial","Resistors",1.15,3198
"STMicroelectronics","PIC16F-6943-I","NAND Gate Quad 2-Input","Integrated Circuits",200.58,1792
"Molex","HDR-2X5-5835-J","Modular Jack Shielded","Connectors",36.64,865
"Murata","EC-RAD-4120-K","Electrolytic 25V","Capacitors",2.03,1900
"Vishay","CRCW-0603-7810-L","Thick Film Resistor 1%","Resistors",1.07,2439
"NXP","PIC16F-3490-M","NAND Gate Quad 2-Input","Integrated Circuits",199.51,1245
"Amphenol","USBC-REC-5147-N","Modular Jack Shielded","Connectors",29.97,2954
"Samsung Electromechanics","TA-1206-7058-O","Tantalum Capacitor 16V","Capacitors",2.58,4185
"Vishay","MFR-TH-5015-P","Precision Resistor 0.1W","Resistors",1.27,439
"NXP","SN74HC-2674-Q","32-bit MCU 64KB Flash","Integrated Circuits",185.71,4494
"Wurth Elektronik","HDR-2X5-1796-R","Terminal Block 3-Pos","Connectors",38.35,2565
"Samsung Electromechanics","CC-0805-9291-S","Tantalum Capacitor 16V","Capacitors",2.40,3513
"Bourns","ERJ-0805-5266-T","Thick Film Resistor 1%","Resistors",1.20,3409
"STMicroelectronics","LM358-2238-U","32-bit MCU 64KB Flash","Integrated Circuits",164.54,3924
"Wurth Elektronik","HDR-2X5-6934-V","Terminal Block 3-Pos","Connectors",31.23,2210
"Murata","EC-RAD-6544-W","Ceramic Capacitor 50V","Capacitors",2.74,3263
"Bourns","RC-1206-9784-X","Thin Film SMD Resistor","Resistors",1.21,2183
"Texas Instruments","ATMEGA-5295-Y","8-bit PIC MCU","Integrated Circuits",154.66,3553
"Wurth Elektronik","HDR-2X5-9399-Z","Pin Header 2.54mm Pitch","Connectors",35.07,4834
"Vishay","EC-RAD-7192-A","SMD MLCC 10%","Capacitors",2.86,2794
"Vishay","CRCW-0603-4999-B","Metal Film Axial","Resistors",1.14,4923
"Analog Devices","LM358-2013-C","NAND Gate Quad 2-Input","Integrated Circuits",185.91,1569
"Amphenol","TERM-3P-3248-D","USB Type-C Receptacle","Connectors",30.84,3034
"Samsung Electromechanics","CC-0805-3473-E","Electrolytic 25V","Capacitors",2.48,500
"Bourns","ERJ-0805-9615-F","Thick Film Resistor 1%","Resistors",1.00,2735
"Texas Instruments","ATMEGA-1539-G","Dual Operational Amplifier","Integrated Circuits",184.21,975
"Wurth Elektronik","HDR-2X5-6858-H","Pin Header 2.54mm Pitch","Connectors",32.09,4717
"Murata","TA-1206-2962-I","SMD MLCC 10%","Capacitors",2.08,550
"Bourns","ERJ-0805-2512-J","Precision Resistor 0.1W","Resistors",1.03,2507
"Analog Devices","LM358-7723-K","NAND Gate Quad 2-Input","Integrated Circuits",157.26,3496
"Molex","RJ45-8P8C-6191-L","USB Type-C Receptacle","Connectors",37.94,2379
"Murata","CC-0805-1013-M","Tantalum Capacitor 16V","Capacitors",2.03,3174
"Panasonic","ERJ-0805-1449-N","Thin Film SMD Resistor","Resistors",1.20,337
"Analog Devices","LM358-6316-O","32-bit MCU 64KB Flash","Integrated Circuits",220.48,3961
"Wurth Elektronik","TERM-3P-9185-P","Pin Header 2.54mm Pitch","Connectors",31.66,2036
"Murata","TA-1206-5806-Q","Ceramic Capacitor 50V","Capacitors",2.67,3662
"Panasonic","RC-1206-7067-R","Thick Film Resistor 1%","Resistors",1.14,3937
"Analog Devices","ATMEGA-5797-S","8-bit PIC MCU","Integrated Circuits",177.76,4616
"Wurth Elektronik","USBC-REC-5508-T","USB Type-C Receptacle","Connectors",28.94,3530
"KEMET","TA-1206-6375-U","SMD MLCC 10%","Capacitors",2.18,3432
"Vishay","MFR-TH-1963-V","Metal Film Axial","Resistors",1.25,2397
"Analog Devices","STM32F4527-W","8-bit PIC MCU","Integrated Circuits",211.90,1101
"Wurth Elektronik","RJ45-8P8C-2134-X","Pin Header 2.54mm Pitch","Connectors",39.41,1144
"Vishay","EC-RAD-1018-Y","Tantalum Capacitor 16V","Capacitors",2.42,1698
"Yageo","ERJ-0805-2420-Z","Metal Film Axial","Resistors",1.00,2305
"Microchip","ATMEGA-6399-A","Dual Operational Amplifier","Integrated Circuits",214.22,3016
"TE Connectivity","HDR-2X5-4389-B","USB Type-C Receptacle","Connectors",31.66,4701
"Murata","MLCC-0402-4805-C","SMD MLCC 10%","Capacitors",2.53,91
"Yageo","RC-1206-3748-D","Metal Film Axial","Resistors",1.24,1189
"Microchip","SN74HC-9626-E","8-bit PIC MCU","Integrated Circuits",186.37,3156
"Wurth Elektronik","USBC-REC-6298-F","Terminal Block 3-Pos","Connectors",29.28,3630
"Samsung Electromechanics","TA-1206-6643-G","Tantalum Capacitor 16V","Capacitors",2.25,1578
"Panasonic","ERJ-0805-4024-H","Precision Resistor 0.1W","Resistors",1.06,1791
"NXP","PIC16F-1947-I","8-bit AVR Microcontroller","Integrated Circuits",182.91,856
"Wurth Elektronik","RJ45-8P8C-2909-J","Modular Jack Shielded","Connectors",38.98,4250
"Murata","EC-RAD-2550-K","Tantalum Capacitor 16V","Capacitors",2.71,3923
"ROHM","RC-1206-6595-L","Metal Film Axial","Resistors",1.23,4360
"NXP","ATMEGA-4376-M","Dual Operational Amplifier","Integrated Circuits",205.31,1573
"Molex","TERM-3P-9113-N","Terminal Block 3-Pos","Connectors",29.18,3474
"TDK","TA-1206-5909-O","Tantalum Capacitor 16V","Capacitors",2.45,4079
"Bourns","MFR-TH-3518-P","Thick Film Resistor 1%","Resistors",1.40,2570
"STMicroelectronics","SN74HC-2288-Q","Dual Operational Amplifier","Integrated Circuits",173.21,4650
"JST","USBC-REC-4095-R","Pin Header 2.54mm Pitch","Connectors",41.45,972
"Samsung Electromechanics","CC-0805-8402-S","SMD MLCC 10%","Capacitors",2.73,4943
"Vishay","RC-1206-8073-T","Precision Resistor 0.1W","Resistors",1.43,4100
"Microchip","STM32F9610-U","8-bit PIC MCU","Integrated Circuits",193.91,1413
"TE Connectivity","HDR-2X5-2879-V","Pin Header 2.54mm Pitch","Connectors",28.11,2861
"Murata","TA-1206-2795-W","Electrolytic 25V","Capacitors",2.33,1869
"ROHM","CRCW-0603-6253-X","Thick Film Resistor 1%","Resistors",1.29,4408
"Microchip","PIC16F-9902-Y","NAND Gate Quad 2-Input","Integrated Circuits",162.99,3081
"Molex","TERM-3P-6989-Z","USB Type-C Receptacle","Connectors",36.88,3478
"Vishay","TA-1206-3716-A","SMD MLCC 10%","Capacitors",2.79,4182
"ROHM","MFR-TH-4181-B","Metal Film Axial","Resistors",1.28,2415
"Analog Devices","ATMEGA-8360-C","8-bit PIC MCU","Integrated Circuits",171.79,795
"JST","TERM-3P-5102-D","USB Type-C Receptacle","Connectors",33.84,4835
"TDK","EC-RAD-9344-E","Tantalum Capacitor 16V","Capacitors",2.57,610
"Yageo","ERJ-0805-4917-F","Metal Film Axial","Resistors",1.07,821
"Analog Devices","ATMEGA-3544-G","Dual Operational Amplifier","Integrated Circuits",157.76,776
"JST","USBC-REC-4909-H","USB Type-C Receptacle","Connectors",41.14,4920
"Murata","EC-RAD-3234-I","Ceramic Capacitor 50V","Capacitors",2.37,1994
"Vishay","RC-1206-3829-J","Metal Film Axial","Resistors",1.26,175
"Analog Devices","PIC16F-5589-K","8-bit PIC MCU","Integrated Circuits",184.14,81
"Amphenol","TERM-3P-5211-L","Modular Jack Shielded","Connectors",29.27,585
"Vishay","MLCC-0402-2541-M","SMD MLCC 10%","Capacitors",2.54,3500
"Panasonic","RC-1206-6383-N","Thin Film SMD Resistor","Resistors",1.11,1738
"Texas Instruments","PIC16F-6695-O","32-bit MCU 64KB Flash","Integrated Circuits",162.17,2429
"Molex","TERM-3P-9407-P","USB Type-C Receptacle","Connectors",41.79,4808
"Samsung Electromechanics","TA-1206-1849-Q","Ceramic Capacitor 50V","Capacitors",2.05,4423
"Vishay","MFR-TH-1444-R","Thin Film SMD Resistor","Resistors",1.20,1892
"Texas Instruments","SN74HC-6349-S","8-bit PIC MCU","Integrated Circuits",170.35,3766
"Wurth Elektronik","HDR-2X5-6822-T","USB Type-C Receptacle","Connectors",32.55,2207
"TDK","CC-0805-9547-U","Ceramic Capacitor 50V","Capacitors",2.69,3305
"Vishay","ERJ-0805-3699-V","Precision Resistor 0.1W","Resistors",1.13,449
"STMicroelectronics","ATMEGA-5081-W","Dual Operational Amplifier","Integrated Circuits",205.56,4627
"TE Connectivity","USBC-REC-7655-X","Pin Header 2.54mm Pitch","Connectors",40.25,4591
"KEMET","TA-1206-4524-Y","Tantalum Capacitor 16V","Capacitors",2.33,610
"Panasonic","ERJ-0805-5708-Z","Thin Film SMD Resistor","Resistors",1.44,2601
"NXP","PIC16F-4871-A","Dual Operational Amplifier","Integrated Circuits",183.20,2217
"TE Connectivity","HDR-2X5-7869-B","USB Type-C Receptacle","Connectors",40.04,2546
"Murata","TA-1206-9313-C","SMD MLCC 10%","Capacitors",2.07,3689
"Yageo","CRCW-0603-9306-D","Thin Film SMD Resistor","Resistors",1.06,4518
"Analog Devices","ATMEGA-4958-E","8-bit AVR Microcontroller","Integrated Circuits",219.90,1168
"Wurth Elektronik","USBC-REC-4340-F","Pin Header 2.54mm Pitch","Connectors",29.85,3330
"TDK","MLCC-0402-7863-G","Tantalum Capacitor 16V","Capacitors",2.56,1054
"Vishay","RC-1206-1735-H","Precision Resistor 0.1W","Resistors",0.97,4043
"STMicroelectronics","PIC16F-2975-I","NAND Gate Quad 2-Input","Integrated Circuits",219.41,96
"Wurth Elektronik","HDR-2X5-6299-J","USB Type-C Receptacle","Connectors",31.52,3545
"TDK","TA-1206-6875-K","SMD MLCC 10%","Capacitors",2.65,2320
"Yageo","ERJ-0805-9453-L","Thick Film Resistor 1%","Resistors",1.44,3114
"Texas Instruments","PIC16F-2677-M","Dual Operational Amplifier","Integrated Circuits",154.93,4294
"Amphenol","HDR-2X5-8819-N","USB Type-C Receptacle","Connectors",32.75,1722
"TDK","EC-RAD-9339-O","SMD MLCC 10%","Capacitors",2.42,4000
"ROHM","MFR-TH-6778-P","Precision Resistor 0.1W","Resistors",1.38,1163
"STMicroelectronics","PIC16F-1558-Q","8-bit PIC MCU","Integrated Circuits",190.62,2381
"JST","HDR-2X5-2959-R","Modular Jack Shielded","Connectors",41.97,2559
"KEMET","TA-1206-2919-S","SMD MLCC 10%","Capacitors",2.44,4888
"Bourns","CRCW-0603-5858-T","Thin Film SMD Resistor","Resistors",1.10,320
"STMicroelectronics","PIC16F-3371-U","32-bit MCU 64KB Flash","Integrated Circuits",165.17,3238
"TE Connectivity","TERM-3P-6949-V","USB Type-C Receptacle","Connectors",37.14,4176
"KEMET","CC-0805-3267-W","Ceramic Capacitor 50V","Capacitors",2.50,4807
"Vishay","RC-1206-7500-X","Precision Resistor 0.1W","Resistors",1.30,2376
"Microchip","SN74HC-1696-Y","NAND Gate Quad 2-Input","Integrated Circuits",162.29,4905
"TE Connectivity","RJ45-8P8C-6668-Z","Pin Header 2.54mm Pitch","Connectors",28.29,2160
"Murata","MLCC-0402-7771-A","Tantalum Capacitor 16V","Capacitors",2.60,4291
"Vishay","ERJ-0805-1382-B","Thin Film SMD Resistor","Resistors",1.14,1392
"Texas Instruments","LM358-5866-C","Dual Operational Amplifier","Integrated Circuits",181.80,2791
"Wurth Elektronik","HDR-2X5-2350-D","USB Type-C Receptacle","Connectors",36.82,2552
"Samsung Electromechanics","EC-RAD-1862-E","Ceramic Capacitor 50V","Capacitors",2.26,367
"Yageo","ERJ-0805-8344-F","Metal Film Axial","Resistors",1.16,3191
"STMicroelectronics","ATMEGA-7816-G","32-bit MCU 64KB Flash","Integrated Circuits",213.54,3999
"TE Connectivity","HDR-2X5-7053-H","USB Type-C Receptacle","Connectors",38.25,3243
"Murata","TA-1206-2465-I","Ceramic Capacitor 50V","Capacitors",2.73,3370
"Bourns","RC-1206-7515-J","Metal Film Axial","Resistors",1.12,3562
"NXP","STM32F9267-K","8-bit AVR Microcontroller","Integrated Circuits",203.36,4304
"JST","USBC-REC-8274-L","Pin Header 2.54mm Pitch","Connectors",31.48,4008
"KEMET","EC-RAD-8160-M","SMD MLCC 10%","Capacitors",2.97,1413
"Panasonic","RC-1206-1807-N","Precision Resistor 0.1W","Resistors",1.12,3578
"STMicroelectronics","STM32F8800-O","Dual Operational Amplifier","Integrated Circuits",182.95,3528
"Amphenol","USBC-REC-1677-P","USB Type-C Receptacle","Connectors",41.27,3695
"KEMET","EC-RAD-3567-Q","SMD MLCC 10%","Capacitors",2.89,1685
"Panasonic","MFR-TH-4514-R","Precision Resistor 0.1W","Resistors",1.01,2872
"Analog Devices","ATMEGA-8034-S","Dual Operational Amplifier","Integrated Circuits",168.02,3787
"Molex","RJ45-8P8C-3009-T","Modular Jack Shielded","Connectors",30.66,94
"Murata","CC-0805-3095-U","Tantalum Capacitor 16V","Capacitors",2.38,3617
"Bourns","RC-1206-3429-V","Precision Resistor 0.1W","Resistors",1.36,4809
"NXP","ATMEGA-5340-W","NAND Gate Quad 2-Input","Integrated Circuits",162.52,616
"JST","RJ45-8P8C-1230-X","Terminal Block 3-Pos","Connectors",40.06,109
"TDK","EC-RAD-6237-Y","Electrolytic 25V","Capacitors",2.59,401
"ROHM","ERJ-0805-1143-Z","Thick Film Resistor 1%","Resistors",1.08,3373
"NXP","ATMEGA-9716-A","Dual Operational Amplifier","Integrated Circuits",157.69,3049
"TE Connectivity","HDR-2X5-5552-B","Modular Jack Shielded","Connectors",40.07,4257
"Murata","EC-RAD-2449-C","Tantalum Capacitor 16V","Capacitors",2.95,1408
"Yageo","MFR-TH-5397-D","Precision Resistor 0.1W","Resistors",1.36,3407
"Texas Instruments","SN74HC-4987-E","32-bit MCU 64KB Flash","Integrated Circuits",214.51,3794
"Molex","HDR-2X5-1599-F","Terminal Block 3-Pos","Connectors",37.13,2388
"KEMET","CC-0805-7254-G","SMD MLCC 10%","Capacitors",2.78,706
"ROHM","RC-1206-9021-H","Precision Resistor 0.1W","Resistors",1.04,4181
"Analog Devices","SN74HC-2260-I","Dual Operational Amplifier","Integrated Circuits",220.18,1507
"TE Connectivity","HDR-2X5-7787-J","Terminal Block 3-Pos","Connectors",40.50,424
"KEMET","EC-RAD-9168-K","Electrolytic 25V","Capacitors",2.57,3537
"ROHM","MFR-TH-2750-L","Metal Film Axial","Resistors",1.43,490
"Texas Instruments","LM358-3570-M","NAND Gate Quad 2-Input","Integrated Circuits",182.17,4700
"Wurth Elektronik","USBC-REC-5528-N","Pin Header 2.54mm Pitch","Connectors",41.14,4137
"Samsung Electromechanics","TA-1206-4247-O","SMD MLCC 10%","Capacitors",2.59,3097
"Vishay","CRCW-0603-8096-P","Thin Film SMD Resistor","Resistors",1.04,3066
"Texas Instruments","ATMEGA-5883-Q","32-bit MCU 64KB Flash","Integrated Circuits",178.45,2532
"Amphenol","USBC-REC-3807-R","USB Type-C Receptacle","Connectors",33.23,3156
"KEMET","TA-1206-3576-S","Electrolytic 25V","Capacitors",2.76,4246
"Yageo","ERJ-0805-6778-T","Thick Film Resistor 1%","Resistors",1.43,4554
"Microchip","SN74HC-5698-U","NAND Gate Quad 2-Input","Integrated Circuits",193.06,4204
"TE Connectivity","USBC-REC-8049-V","Pin Header 2.54mm Pitch","Connectors",37.04,4077
"Samsung Electromechanics","TA-1206-2437-W","Tantalum Capacitor 16V","Capacitors",2.29,4199
"Vishay","CRCW-0603-6500-X","Metal Film Axial","Resistors",1.30,4645
"Microchip","SN74HC-9361-Y","8-bit AVR Microcontroller","Integrated Circuits",150.98,2698
"Wurth Elektronik","RJ45-8P8C-1516-Z","Pin Header 2.54mm Pitch","Connectors",35.89,2889
"Samsung Electromechanics","TA-1206-4917-A","Ceramic Capacitor 50V","Capacitors",2.96,494
"ROHM","CRCW-0603-8095-B","Thick Film Resistor 1%","Resistors",1.10,3533
"Analog Devices","LM358-9394-C","32-bit MCU 64KB Flash","Integrated Circuits",211.99,76
"Molex","HDR-2X5-9391-D","Modular Jack Shielded","Connectors",41.08,4961
"KEMET","CC-0805-7166-E","SMD MLCC 10%","Capacitors",2.94,1629
"ROHM","CRCW-0603-5077-F","Metal Film Axial","Resistors",1.27,4210
"Texas Instruments","PIC16F-4529-G","8-bit AVR Microcontroller","Integrated Circuits",210.74,4159
"Amphenol","TERM-3P-3279-H","Modular Jack Shielded","Connectors",41.26,3601
"Vishay","MLCC-0402-2942-I","Electrolytic 25V","Capacitors",2.77,900
"ROHM","CRCW-0603-9177-J","Thick Film Resistor 1%","Resistors",1.01,3922
"NXP","STM32F8134-K","8-bit PIC MCU","Integrated Circuits",193.54,3503
"Wurth Elektronik","TERM-3P-3201-L","USB Type-C Receptacle","Connectors",28.34,554
"Samsung Electromechanics","MLCC-0402-4232-M","Tantalum Capacitor 16V","Capacitors",2.31,4076
"Panasonic","RC-1206-9242-N","Thick Film Resistor 1%","Resistors",0.97,4314
"NXP","LM358-5796-O","Dual Operational Amplifier","Integrated Circuits",185.59,3025
"Wurth Elektronik","TERM-3P-2842-P","Modular Jack Shielded","Connectors",37.53,4541
"Murata","EC-RAD-7026-Q","Tantalum Capacitor 16V","Capacitors",2.05,2162
"Vishay","RC-1206-4872-R","Thick Film Resistor 1%","Resistors",1.28,3608
"Analog Devices","ATMEGA-6784-S","NAND Gate Quad 2-Input","Integrated Circuits",159.75,4527
"TE Connectivity","RJ45-8P8C-3661-T","Pin Header 2.54mm Pitch","Connectors",29.61,1309
"KEMET","CC-0805-1797-U","Ceramic Capacitor 50V","Capacitors",2.22,4897
"Bourns","RC-1206-9271-V","Thin Film SMD Resistor","Resistors",1.42,1996
"Microchip","ATMEGA-1362-W","Dual Operational Amplifier","Integrated Circuits",184.90,4831
"Wurth Elektronik","HDR-2X5-4516-X","Modular Jack Shielded","Connectors",34.14,4311
"Murata","MLCC-0402-7709-Y","Electrolytic 25V","Capacitors",2.29,93
"Yageo","ERJ-0805-6890-Z","Metal Film Axial","Resistors",1.11,691
"Analog Devices","ATMEGA-5996-A","8-bit AVR Microcontroller","Integrated Circuits",179.11,2775
"JST","TERM-3P-5836-B","Terminal Block 3-Pos","Connectors",36.63,4878
"Vishay","CC-0805-9240-C","Ceramic Capacitor 50V","Capacitors",2.57,4919
"ROHM","MFR-TH-9492-D","Precision Resistor 0.1W","Resistors",1.14,2604
"NXP","ATMEGA-4677-E","8-bit PIC MCU","Integrated Circuits",200.34,3610
"TE Connectivity","USBC-REC-1051-F","Terminal Block 3-Pos","Connectors",31.40,4621
"TDK","CC-0805-5059-G","Ceramic Capacitor 50V","Capacitors",2.71,1686
"Yageo","MFR-TH-5946-H","Thin Film SMD Resistor","Resistors",0.97,3927
"Analog Devices","LM358-8842-I","Dual Operational Amplifier","Integrated Circuits",191.71,3880
"Amphenol","USBC-REC-8886-J","Modular Jack Shielded","Connectors",34.41,1757
"Vishay","MLCC-0402-3839-K","Electrolytic 25V","Capacitors",2.91,2329
"ROHM","MFR-TH-6129-L","Thin Film SMD Resistor","Resistors",1.29,4885
"Microchip","ATMEGA-1821-M","32-bit MCU 64KB Flash","Integrated Circuits",173.26,4559
"TE Connectivity","RJ45-8P8C-1126-N","USB Type-C Receptacle","Connectors",36.66,2191
"KEMET","EC-RAD-9965-O","Tantalum Capacitor 16V","Capacitors",2.59,1189
"Yageo","CRCW-0603-7241-P","Thick Film Resistor 1%","Resistors",1.09,3921
"STMicroelectronics","SN74HC-7052-Q","8-bit AVR Microcontroller","Integrated Circuits",173.70,369
"TE Connectivity","RJ45-8P8C-3572-R","USB Type-C Receptacle","Connectors",37.18,784
"Samsung Electromechanics","EC-RAD-6605-S","SMD MLCC 10%","Capacitors",2.70,1302
"Bourns","ERJ-0805-4467-T","Thin Film SMD Resistor","Resistors",1.29,347
"Texas Instruments","ATMEGA-5839-U","NAND Gate Quad 2-Input","Integrated Circuits",153.74,4041
"Wurth Elektronik","HDR-2X5-6766-V","USB Type-C Receptacle","Connectors",33.21,3931
"Murata","EC-RAD-6643-W","Electrolytic 25V","Capacitors",2.25,4875
"Yageo","ERJ-0805-5624-X","Thin Film SMD Resistor","Resistors",1.41,203
"Microchip","PIC16F-4811-Y","NAND Gate Quad 2-Input","Integrated Circuits",164.42,527
"Wurth Elektronik","RJ45-8P8C-3267-Z","Modular Jack Shielded","Connectors",28.92,2609
"Samsung Electromechanics","TA-1206-3520-A","Tantalum Capacitor 16V","Capacitors",2.25,3094
"Vishay","MFR-TH-7163-B","Thick Film Resistor 1%","Resistors",1.01,4713
"Microchip","STM32F2163-C","8-bit AVR Microcontroller","Integrated Circuits",153.12,3592
"JST","TERM-3P-7702-D","Modular Jack Shielded","Connectors",33.26,3446
"Samsung Electromechanics","CC-0805-3223-E","Tantalum Capacitor 16V","Capacitors",2.10,3874
"Yageo","RC-1206-8450-F","Thin Film SMD Resistor","Resistors",1.15,3395
"Microchip","LM358-3081-G","8-bit PIC MCU","Integrated Circuits",160.19,3094
"Molex","RJ45-8P8C-6205-H","Modular Jack Shielded","Connectors",28.52,3425
"Vishay","MLCC-0402-6333-I","SMD MLCC 10%","Capacitors",2.12,2349
"Panasonic","RC-1206-3277-J","Thin Film SMD Resistor","Resistors",1.26,3013
"STMicroelectronics","ATMEGA-9420-K","NAND Gate Quad 2-Input","Integrated Circuits",216.55,1573
"Amphenol","USBC-REC-9072-L","Pin Header 2.54mm Pitch","Connectors",39.60,102
"Samsung Electromechanics","MLCC-0402-9180-M","Electrolytic 25V","Capacitors",2.81,4594
"Yageo","CRCW-0603-7715-N","Precision Resistor 0.1W","Resistors",1.41,2443
"Analog Devices","STM32F1528-O","32-bit MCU 64KB Flash","Integrated Circuits",177.81,301
"Molex","USBC-REC-2485-P","Pin Header 2.54mm Pitch","Connectors",29.64,1230
"Samsung Electromechanics","MLCC-0402-8232-Q","Tantalum Capacitor 16V","Capacitors",2.47,4795
"Panasonic","CRCW-0603-4906-R","Thin Film SMD Resistor","Resistors",1.41,2442
"STMicroelectronics","STM32F8519-S","8-bit AVR Microcontroller","Integrated Circuits",156.22,1120
"JST","TERM-3P-4775-T","Modular Jack Shielded","Connectors",29.56,653
"Samsung Electromechanics","EC-RAD-5791-U","Tantalum Capacitor 16V","Capacitors",2.48,4255
"ROHM","MFR-TH-2341-V","Metal Film Axial","Resistors",1.04,4193
"Microchip","PIC16F-4295-W","NAND Gate Quad 2-Input","Integrated Circuits",185.11,1818
"Amphenol","RJ45-8P8C-2958-X","Modular Jack Shielded","Connectors",35.64,4742
"Samsung Electromechanics","EC-RAD-7759-Y","Tantalum Capacitor 16V","Capacitors",2.82,995
"Bourns","RC-1206-4472-Z","Metal Film Axial","Resistors",1.39,4416
"Microchip","SN74HC-7088-A","8-bit AVR Microcontroller","Integrated Circuits",176.27,794
"Wurth Elektronik","RJ45-8P8C-3161-B","Modular Jack Shielded","Connectors",34.02,518
"Samsung Electromechanics","EC-RAD-9048-C","Ceramic Capacitor 50V","Capacitors",2.87,835
"Panasonic","RC-1206-7548-D","Metal Film Axial","Resistors",1.33,2731
"Analog Devices","ATMEGA-1568-E","NAND Gate Quad 2-Input","Integrated Circuits",212.82,2468
"Wurth Elektronik","HDR-2X5-4780-F","Terminal Block 3-Pos","Connectors",28.35,361
"Murata","CC-0805-7449-G","Tantalum Capacitor 16V","Capacitors",2.30,4456
"Vishay","ERJ-0805-8480-H","Precision Resistor 0.1W","Resistors",1.04,1711
"NXP","PIC16F-3279-I","8-bit PIC MCU","Integrated Circuits",175.86,3160
"TE Connectivity","HDR-2X5-4284-J","Modular Jack Shielded","Connectors",38.88,3703
"Vishay","MLCC-0402-4627-K","Ceramic Capacitor 50V","Capacitors",2.93,3305
"ROHM","ERJ-0805-2258-L","Thick Film Resistor 1%","Resistors",1.00,2067
"NXP","SN74HC-8950-M","32-bit MCU 64KB Flash","Integrated Circuits",209.73,340
"TE Connectivity","TERM-3P-8622-N","Pin Header 2.54mm Pitch","Connectors",39.97,294
"Murata","MLCC-0402-1718-O","Ceramic Capacitor 50V","Capacitors",2.32,2340
"Yageo","ERJ-0805-1717-P","Thick Film Resistor 1%","Resistors",1.05,1995
"Microchip","SN74HC-4722-Q","8-bit AVR Microcontroller","Integrated Circuits",193.78,4724
"JST","USBC-REC-8339-R","USB Type-C Receptacle","Connectors",31.80,4333
"TDK","EC-RAD-2293-S","Tantalum Capacitor 16V","Capacitors",2.22,382
"Panasonic","ERJ-0805-7389-T","Thick Film Resistor 1%","Resistors",1.21,3748
"Analog Devices","STM32F2244-U","Dual Operational Amplifier","Integrated Circuits",175.24,3227
"JST","RJ45-8P8C-4976-V","Modular Jack Shielded","Connectors",29.77,1081
"Vishay","TA-1206-9532-W","Tantalum Capacitor 16V","Capacitors",2.37,654
"Panasonic","MFR-TH-2499-X","Metal Film Axial","Resistors",1.32,2820
